track_name,artist_name,genre,popularity,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre_encoded,year_encoded
Raabta,Pritam,indian,0.8833333333333333,0.8833333333333333,0.6787190082644629,0.5802153677678408,0.0,0.7548078160801175,1.0,0.03256830601092896,0.7025120186652,1.8628454452405322e-05,0.10703301209760098,0.3285859613428281,0.56128179401709,0.04831567674406983,0.8,0.0,0.5217391304347826
Kyon,Pritam,indian,0.6333333333333333,0.6333333333333333,0.75,0.6643750887225974,0.18181818181818182,0.7917256648559586,1.0,0.03617486338797814,0.6391953199351581,0.0,0.08693869181874103,0.8453713123092573,0.5797554909913979,0.05356408097231038,0.8,0.0,0.5217391304347826
Phir Le Aya Dil - Reprise,Pritam,indian,0.6333333333333333,0.6333333333333333,0.24483471074380164,0.5416844111861451,0.6363636363636364,0.7338774039080401,1.0,0.04065573770491803,0.8422107666568797,3.950870010235415e-06,0.08663112569202379,0.3214649033570702,0.35138540839471416,0.06280220650152933,0.8,0.0,0.5217391304347826
Tu Hi Mera,Pritam,indian,0.65,0.65,0.6415289256198348,0.8620997343391941,1.0,0.8432407383569755,1.0,0.11147540983606556,0.5487428931779554,0.0,0.10088168956325609,0.8880976602238047,0.4281855833836585,0.055180052374287,0.8,0.0,0.5217391304347826
Aashiyan,Pritam,indian,0.5833333333333334,0.5833333333333334,0.856404958677686,0.6217882419744073,0.9090909090909091,0.7757897175810314,1.0,0.056612021857923495,0.2944710712938189,2.865916069600819e-06,0.1593192536395325,0.7884028484231943,0.6275398361380701,0.04663315160660717,0.8,0.0,0.5217391304347826
Main Kya Karoon,Pritam,indian,0.5333333333333333,0.5333333333333333,0.8099173553719009,0.4514408549816471,0.8181818181818182,0.7337744252503668,1.0,0.15300546448087432,0.6331651581513446,0.0005138178096212896,0.09267992618412958,0.6795523906408952,0.43277904317186483,0.05456355461399534,0.8,0.0,0.5217391304347826
Raabta (Kehte Hain Khuda Ne),Pritam,indian,0.5666666666666667,0.5666666666666667,0.7128099173553719,0.4240635963578106,0.36363636363636365,0.7876837525422857,1.0,0.029398907103825134,0.8703515216480094,0.0,0.10088168956325609,0.4669379450661241,0.5275250952215654,0.058968711337533924,0.8,0.0,0.5217391304347826
Phir Le Aya Dil,Pritam,indian,0.5333333333333333,0.5333333333333333,0.44008264462809915,0.4291334590659285,0.0,0.7146718842519888,1.0,0.038579234972677595,0.8482409284406932,8.996929375639713e-05,0.12138609801107238,0.6256358087487284,0.36616436597416063,0.057988620011797526,0.8,0.0,0.5217391304347826
Tujhe Sochta Hoon,Pritam,indian,0.65,0.65,0.5981404958677685,0.7130457707205289,0.0,0.8060139536081148,0.0,0.03366120218579235,0.2603001545188756,0.00025895598771750257,0.17264711913061306,0.49440488301119023,0.38515637259330765,0.06474510853396366,0.8,0.0,0.5217391304347826
Krishna Theme (Flute),Paras Nath,indian,0.55,0.55,0.5340909090909092,0.3064427815294762,0.09090909090909091,0.8349767010787015,1.0,0.04076502732240437,0.9899497303603108,0.7134083930399181,0.09883124871847447,0.7599186164801628,0.46949343553702105,0.021180434416080876,0.8,0.0,0.5217391304347826
Saawali Si Raat,Pritam,indian,0.48333333333333334,0.48333333333333334,0.5010330578512396,0.2861633306970047,0.8181818181818182,0.5648894266663235,1.0,0.04371584699453552,0.6190947806557797,0.00035312180143295805,0.23210990362928027,0.19837232960325535,0.665048335940732,0.06341870426182099,0.6,0.0,0.5217391304347826
Dil Mera Muft Ka,Pritam,indian,0.4666666666666667,0.4666666666666667,0.5413223140495869,0.8986027458376428,0.7272727272727273,0.8603866848595629,0.0,0.160655737704918,0.13266173009482288,2.006141248720573e-06,0.850317818330941,0.7039674465920651,0.6224898834516569,0.05357108662867733,0.8,0.0,0.5217391304347826
Chup Chup Ke,Pritam,indian,0.55,0.55,0.7138429752066116,0.7394090568027418,0.8181818181818182,0.8110856524985197,1.0,0.09453551912568305,0.714572342232827,0.0,0.39511995078941975,0.8860630722278738,0.42811901150267,0.04506365105853132,0.8,0.0,0.5217391304347826
Tera Deedar Hua,Pritam,indian,0.5666666666666667,0.5666666666666667,0.5991735537190083,0.8489180912980876,0.18181818181818182,0.8743660376386995,1.0,0.057158469945355186,0.5949741335205256,0.0,0.10395735083042854,0.787385554425229,0.427733845619808,0.07260078454010435,0.8,0.0,0.5217391304347826
Neighborhood Hoez (feat. 2 Chainz),Freddie Gibbs,indian,0.11666666666666667,0.11666666666666667,0.8409090909090908,0.6380118026403845,1.0,0.8734134850552224,0.0,0.12349726775956284,0.033566071447487474,0.0,0.09985646914086528,0.2990844354018311,0.6280438803798402,0.03901426678566942,0.8,0.0,0.5217391304347826
Natural High (Even Higher Learning),Freddie Gibbs,indian,0.11666666666666667,0.11666666666666667,0.6466942148760331,0.8803512400884184,1.0,0.815230543469866,0.0,0.3136612021857923,0.5507529471058932,0.0,0.10498257125281936,0.44150559511698884,0.6065411628205555,0.0591282067808215,0.8,0.0,0.5217391304347826
Breaking Bad (feat. Ea$y Money),Freddie Gibbs,indian,0.15,0.15,0.6962809917355373,0.8793372675467949,0.18181818181818182,0.822027134876297,0.0,0.2426229508196721,0.19095329400502017,0.0,0.36026245642813204,0.8067141403865717,0.7035839447643593,0.047685401192923166,0.8,0.0,0.5217391304347826
Jannatein Kahan,Pritam,indian,0.6,0.6,0.5630165289256199,0.7718561781346961,0.0,0.8064516129032259,1.0,0.0715846994535519,0.30954647575335265,2.8659160696008188e-05,0.1593192536395325,0.7080366225839267,0.76070261865249,0.04469959044932879,0.8,0.0,0.5217391304347826
The Hard (feat. Dana Williams),Freddie Gibbs,indian,0.11666666666666667,0.11666666666666667,0.6900826446280992,0.8134290523412626,0.09090909090909091,0.8292098962490025,0.0,0.22950819672131145,0.031757022912343426,0.0,0.3428337092474882,0.6612410986775178,0.6614677197704221,0.06427269377295228,0.8,0.0,0.5217391304347826
Ala Barfi,Pritam,indian,0.4,0.4,0.7923553719008265,0.5143071525623086,0.6363636363636364,0.7578714311458951,1.0,0.04994535519125683,0.5597981897816136,0.0,0.09883124871847447,0.681586978636826,0.6083813998164518,0.06598137336085155,0.8,0.0,0.5217391304347826
Walk In Wit the M.O. (feat. Dom Kennedy),Freddie Gibbs,indian,0.1,0.1,0.8233471074380166,0.6826265944718217,0.6363636363636364,0.7963082151224159,1.0,0.41202185792349727,0.11557627170735127,0.0,0.10600779167521017,0.7019328585961342,0.39951687834939775,0.038213286741048055,0.8,0.0,0.5217391304347826
"Kush Cloud (feat. Krayzie Bone, SpaceGhostPurrp)",Freddie Gibbs,indian,0.1,0.1,0.8068181818181819,0.7972054916752854,1.0,0.8491877558376028,1.0,0.2830601092896175,0.20602869846455396,0.0,0.10600779167521017,0.508646998982706,0.5689851116743303,0.06353873450757475,0.8,0.0,0.5217391304347826
Rab Ka Shukrana,Pritam,indian,0.5166666666666667,0.5166666666666667,0.621900826446281,0.5579079718521223,0.9090909090909091,0.8038514017969777,0.0,0.046557377049180323,0.6180897536918107,0.0,0.1224113184334632,0.4476093591047813,0.5802072287552484,0.061391734352983264,0.8,0.0,0.5217391304347826
Barely M.A.D.E. It (feat. B.J. The Chicago Kid),Freddie Gibbs,indian,0.08333333333333333,0.08333333333333333,0.5692148760330579,0.9503153454604449,0.36363636363636365,0.8697319980434056,0.0,0.3989071038251366,0.04884248129981504,0.0,0.22903424236210784,0.3448626653102747,0.7610925396697082,0.033867444574749654,0.8,0.0,0.5217391304347826
Tell a Friend (feat. Curren$y),Freddie Gibbs,indian,0.08333333333333333,0.08333333333333333,0.48760330578512395,0.9422035651274563,1.0,0.8539762634194064,1.0,0.5191256830601092,0.22914431863583912,0.000361310133060389,0.20545417264711913,0.3936927772126145,0.8320438994003776,0.04578803592687403,0.8,0.0,0.5217391304347826
Stay Down,Freddie Gibbs,indian,0.08333333333333333,0.08333333333333333,0.7747933884297521,0.9422035651274563,0.9090909090909091,0.8907653888731561,0.0,0.39234972677595625,0.08019932257564531,0.0,0.21365593602624564,0.7314343845371312,0.7035078626146581,0.048790426723870184,0.8,0.0,0.5217391304347826
"Krazy (feat. Jadakiss, Jay Rock)",Freddie Gibbs,indian,0.06666666666666667,0.06666666666666667,0.4741735537190083,0.8448622011315934,0.8181818181818182,0.8161316067245065,0.0,0.33005464480874314,0.22210912988805667,0.0,0.22903424236210784,0.3936927772126145,0.4276767840075321,0.043102300797664035,0.8,0.0,0.5217391304347826
"Money, Clothes, Hoes (MCH)",Freddie Gibbs,indian,0.08333333333333333,0.08333333333333333,0.45867768595041325,0.7678002879682019,0.7272727272727273,0.8596658342558504,0.0,0.3519125683060109,0.28542582861809856,0.0,0.08755382407217552,0.6073245167853509,0.6662180989923869,0.05536873805243687,0.8,0.0,0.5217391304347826
Heaven Can Wait,Freddie Gibbs,indian,0.06666666666666667,0.06666666666666667,0.5723140495867769,0.9107704163371256,0.2727272727272727,0.9000592127281621,0.0,0.5431693989071038,0.21607896810424315,0.0,0.25774041418905064,0.6531027466937945,0.39017779447358286,0.03916045148185979,0.8,0.0,0.5217391304347826
I'll Do The Talking Tonight,Pritam,indian,0.36666666666666664,0.36666666666666664,0.8026859504132232,0.679584676846951,0.45454545454545453,0.7610122802049276,0.0,0.04612021857923497,0.08210887380718626,1.4636642784032754e-05,0.20852983391429156,0.7843336724313327,0.6182245279340367,0.05106072643052,0.8,0.0,0.5217391304347826
Sang Hoon Tere,Pritam,indian,0.4666666666666667,0.4666666666666667,0.5960743801652892,0.6339559124738902,0.0,0.819452668434467,0.0,0.0312568306010929,0.18090302436533098,1.1770726714431935e-06,0.17879844166495795,0.3987792472024415,0.38512308665281336,0.05328081893320667,0.8,0.0,0.5217391304347826
Boxframe Cadillac ('83 DeVille Mix) (feat. Z-Ro),Freddie Gibbs,indian,0.05,0.05,0.6745867768595042,0.9107704163371256,0.18181818181818182,0.8838658188090519,0.0,0.31256830601092894,0.08371691694953654,0.0,0.11010867336477341,0.6724313326551373,0.43447187100271517,0.04655141894899275,1.0,0.0,0.5217391304347826
Str8 Slammin' (feat. Juicy J),Freddie Gibbs,indian,0.016666666666666666,0.016666666666666666,0.8801652892561983,0.6461235829733731,0.9090909090909091,0.7603171742656335,0.0,0.13661202185792348,0.3497475543121094,0.0,0.18597498462169365,0.7121057985757884,0.5706398984303301,0.04094152285221755,0.8,0.0,0.5217391304347826
"Anything To Survive (feat. Freeway, Sly Polaroid & Adrian)",Freddie Gibbs,indian,0.03333333333333333,0.03333333333333333,0.75,0.8945468556711484,0.5454545454545454,0.8493164791596943,0.0,0.26994535519125684,0.16080248508595263,0.0,0.34795981135944226,0.5584944048830113,0.4041008278688914,0.04712331403041482,0.8,0.0,0.5217391304347826
Twos and Fews (feat. Young Jeezy),Freddie Gibbs,indian,0.0,0.0,0.5547520661157025,0.8590578167143234,0.09090909090909091,0.7517956903431764,1.0,0.3737704918032787,0.022510774843829365,0.0,0.3366823867131433,0.5534079348931842,0.4269302279135897,0.045727086716481555,0.8,0.0,0.5217391304347826
Ik Bagal,Piyush Mishra,indian,0.43333333333333335,0.43333333333333335,0.5981404958677685,0.38553263977611485,1.0,0.7936822593517494,1.0,0.04775956284153005,0.8502509823686311,7.154554759467759e-05,0.11933565716629076,0.3214649033570702,0.6995563459645553,0.06813911552187236,0.2,0.0,0.5217391304347826
187 Proof,Freddie Gibbs,indian,0.016666666666666666,0.016666666666666666,0.7644628099173554,0.7738841232179433,0.18181818181818182,0.8430090363772108,1.0,0.11366120218579234,0.03195802830513721,0.0,0.15316793110518762,0.40793489318413023,0.7226805643393455,0.036299107899718235,0.8,0.0,0.5217391304347826
Khwahishein,Salim–Sulaiman,indian,0.3,0.3,0.481404958677686,0.4757761959806128,1.0,0.8033879978374483,0.0,0.0340983606557377,0.6120595919079972,0.0,0.07391839245437769,0.10885045778229908,0.6900270567144874,0.0467858749154067,0.6,0.0,0.5217391304347826
